2022年03月临夏PM2.5指数,2022-03-01,良,87,243,31,123,7,23,0.60,67
﻿2022年03月临夏PM2.5指数,2022-03-02,良,95,280,57,137,8,32,1.01,55
2022年03月临夏PM2.5指数,2022-03-03,良,89,236,55,125,9,29,0.93,57
2022年03月临夏PM2.5指数,2022-03-04,良,78,189,41,105,9,28,0.68,67
2022年03月临夏PM2.5指数,2022-03-05,良,93,272,59,133,9,35,0.99,55
2022年03月临夏PM2.5指数,2022-03-06,良,94,304,57,134,9,33,0.95,57
2022年03月临夏PM2.5指数,2022-03-07,良,90,292,49,129,8,39,1.07,50
2022年03月临夏PM2.5指数,2022-03-08,良,85,242,50,119,10,41,1.10,57
2022年03月临夏PM2.5指数,2022-03-09,轻度污染,105,265,58,158,11,42,0.98,67
2022年03月临夏PM2.5指数,2022-03-10,良,81,217,45,112,8,40,0.82,47
2022年03月临夏PM2.5指数,2022-03-11,良,86,235,47,121,10,30,0.74,69
2022年03月临夏PM2.5指数,2022-03-12,轻度污染,146,329,60,242,9,32,0.63,65
2022年03月临夏PM2.5指数,2022-03-13,轻度污染,120,284,41,164,5,28,0.58,62
2022年03月临夏PM2.5指数,2022-03-14,重度污染,212,297,76,336,6,28,0.53,64
2022年03月临夏PM2.5指数,2022-03-15,轻度污染,124,272,61,198,7,33,0.65,53
2022年03月临夏PM2.5指数,2022-03-16,良,88,254,51,127,6,34,0.55,61
2022年03月临夏PM2.5指数,2022-03-17,轻度污染,102,319,33,147,7,28,0.58,65
2022年03月临夏PM2.5指数,2022-03-18,轻度污染,142,329,26,234,6,25,0.45,61
2022年03月临夏PM2.5指数,2022-03-19,轻度污染,116,333,31,158,7,118,0.48,54
2022年03月临夏PM2.5指数,2022-03-20,优,44,157,19,47,5,17,0.19,86
2022年03月临夏PM2.5指数,2022-03-21,优,40,179,20,40,7,13,0.23,76
2022年03月临夏PM2.5指数,2022-03-22,良,56,243,27,62,5,20,0.34,65
2022年03月临夏PM2.5指数,2022-03-23,良,55,217,23,62,6,24,0.38,64
2022年03月临夏PM2.5指数,2022-03-24,良,64,231,25,80,7,28,0.35,59
2022年03月临夏PM2.5指数,2022-03-25,良,93,301,49,136,4,12,0.24,74
2022年03月临夏PM2.5指数,2022-03-26,良,54,200,26,58,9,19,0.51,71
2022年03月临夏PM2.5指数,2022-03-27,优,46,169,22,50,8,22,0.50,76
2022年03月临夏PM2.5指数,2022-03-28,良,69,257,34,89,7,35,0.52,57
2022年03月临夏PM2.5指数,2022-03-29,良,73,283,28,95,6,15,0.26,77
2022年03月临夏PM2.5指数,2022-03-30,良,59,219,24,68,8,22,0.33,65
2022年03月临夏PM2.5指数,2022-03-31,良,51,247,23,55,6,19,0.32,77
2022年02月临夏PM2.5指数,2022-02-01,良,65,150,41,81,10,27,1.19,60
2022年02月临夏PM2.5指数,2022-02-02,良,57,228,35,64,9,27,1.35,58
2022年02月临夏PM2.5指数,2022-02-03,良,54,206,33,57,11,24,1.21,65
2022年02月临夏PM2.5指数,2022-02-04,优,42,163,25,42,16,22,0.94,68
2022年02月临夏PM2.5指数,2022-02-05,优,34,113,22,31,14,18,0.56,73
2022年02月临夏PM2.5指数,2022-02-06,优,38,144,21,38,7,19,0.56,77
2022年02月临夏PM2.5指数,2022-02-07,良,58,273,34,66,10,26,0.98,81
2022年02月临夏PM2.5指数,2022-02-08,良,74,283,38,86,8,28,1.22,86
2022年02月临夏PM2.5指数,2022-02-09,良,67,217,33,83,9,32,1.16,70
2022年02月临夏PM2.5指数,2022-02-10,良,62,196,31,75,8,32,1.24,66
2022年02月临夏PM2.5指数,2022-02-11,优,49,137,28,52,8,25,0.80,75
2022年02月临夏PM2.5指数,2022-02-12,良,74,239,19,35,8,14,0.49,155
2022年02月临夏PM2.5指数,2022-02-13,优,46,130,23,47,10,23,1.09,57
2022年02月临夏PM2.5指数,2022-02-14,良,55,177,31,60,10,24,0.92,56
2022年02月临夏PM2.5指数,2022-02-15,轻度污染,111,315,83,128,15,30,1.14,59
2022年02月临夏PM2.5指数,2022-02-16,轻度污染,104,297,77,114,11,26,1.15,52
2022年02月临夏PM2.5指数,2022-02-17,良,64,278,36,72,10,18,0.59,71
2022年02月临夏PM2.5指数,2022-02-18,优,46,209,23,48,5,6,0.29,77
2022年02月临夏PM2.5指数,2022-02-19,优,44,217,23,46,5,12,0.56,71
2022年02月临夏PM2.5指数,2022-02-20,良,64,280,41,72,7,20,0.72,66
2022年02月临夏PM2.5指数,2022-02-21,良,58,256,38,62,8,22,0.70,67
2022年02月临夏PM2.5指数,2022-02-22,良,58,247,36,63,9,25,0.69,69
2022年02月临夏PM2.5指数,2022-02-23,良,69,277,45,81,9,27,0.93,58
2022年02月临夏PM2.5指数,2022-02-24,良,72,242,49,78,8,24,0.87,57
2022年02月临夏PM2.5指数,2022-02-25,良,82,235,58,94,11,27,1.13,48
2022年02月临夏PM2.5指数,2022-02-26,良,91,304,66,103,9,30,1.17,53
2022年02月临夏PM2.5指数,2022-02-27,良,89,287,62,108,9,23,1.00,57
2022年02月临夏PM2.5指数,2022-02-28,良,80,188,31,111,6,9,0.34,81
2022年01月临夏PM2.5指数,2022-01-01,轻度污染,117,295,84,140,7,43,1.61,42
2022年01月临夏PM2.5指数,2022-01-02,良,98,241,70,126,9,45,1.82,35
2022年01月临夏PM2.5指数,2022-01-03,轻度污染,102,214,74,132,13,43,1.81,29
2022年01月临夏PM2.5指数,2022-01-04,轻度污染,117,235,86,146,13,51,1.93,31
2022年01月临夏PM2.5指数,2022-01-05,轻度污染,120,279,89,136,12,47,1.99,35
2022年01月临夏PM2.5指数,2022-01-06,轻度污染,124,274,93,154,16,50,2.02,37
2022年01月临夏PM2.5指数,2022-01-07,中度污染,161,303,123,182,17,54,2.22,31
2022年01月临夏PM2.5指数,2022-01-08,中度污染,172,314,131,189,11,51,1.98,40
2022年01月临夏PM2.5指数,2022-01-09,中度污染,168,301,125,201,9,43,1.83,50
2022年01月临夏PM2.5指数,2022-01-10,良,95,237,57,132,10,32,0.89,75
2022年01月临夏PM2.5指数,2022-01-11,轻度污染,111,280,81,141,10,39,1.44,55
2022年01月临夏PM2.5指数,2022-01-12,轻度污染,110,265,80,124,10,39,1.43,50
2022年01月临夏PM2.5指数,2022-01-13,良,97,247,70,119,11,42,1.50,44
2022年01月临夏PM2.5指数,2022-01-14,良,76,180,52,96,12,42,1.53,46
2022年01月临夏PM2.5指数,2022-01-15,良,74,141,50,95,12,43,1.54,47
2022年01月临夏PM2.5指数,2022-01-16,良,61,153,37,73,10,42,1.39,44
2022年01月临夏PM2.5指数,2022-01-17,良,56,158,35,63,14,43,1.58,41
2022年01月临夏PM2.5指数,2022-01-18,良,56,125,33,63,12,41,1.39,43
2022年01月临夏PM2.5指数,2022-01-19,良,53,116,32,59,13,41,1.58,40
2022年01月临夏PM2.5指数,2022-01-20,良,67,156,43,83,14,44,1.74,41
2022年01月临夏PM2.5指数,2022-01-21,良,76,197,52,91,15,44,1.79,49
2022年01月临夏PM2.5指数,2022-01-22,良,86,231,63,95,11,43,1.52,34
2022年01月临夏PM2.5指数,2022-01-23,良,69,205,45,86,8,37,1.38,39
2022年01月临夏PM2.5指数,2022-01-24,良,61,166,40,70,11,37,1.22,53
2022年01月临夏PM2.5指数,2022-01-25,良,68,164,40,86,10,38,1.31,38
2022年01月临夏PM2.5指数,2022-01-26,良,64,185,39,78,7,33,1.25,49
2022年01月临夏PM2.5指数,2022-01-27,优,35,103,21,34,7,22,0.53,73
2022年01月临夏PM2.5指数,2022-01-28,优,41,175,23,41,7,23,0.75,67
2022年01月临夏PM2.5指数,2022-01-29,优,49,198,26,53,8,29,1.05,60
2022年01月临夏PM2.5指数,2022-01-30,优,49,148,27,52,8,26,1.02,60
2022年01月临夏PM2.5指数,2022-01-31,良,52,135,27,59,8,24,0.98,60
2021年12月临夏PM2.5指数,2021-12-01,优,43,167,19,44,11,39,1.30,36
2021年12月临夏PM2.5指数,2021-12-02,良,56,215,26,64,12,46,1.60,31
2021年12月临夏PM2.5指数,2021-12-03,良,58,176,30,68,11,49,1.14,32
2021年12月临夏PM2.5指数,2021-12-04,良,53,128,33,58,14,44,1.26,31
2021年12月临夏PM2.5指数,2021-12-05,良,59,140,39,64,13,48,1.35,35
2021年12月临夏PM2.5指数,2021-12-06,良,68,192,36,89,13,45,1.33,32
2021年12月临夏PM2.5指数,2021-12-07,良,66,228,35,86,11,44,1.31,16
2021年12月临夏PM2.5指数,2021-12-08,良,70,203,45,90,12,47,1.37,28
2021年12月临夏PM2.5指数,2021-12-09,良,64,111,42,75,15,42,1.23,34
2021年12月临夏PM2.5指数,2021-12-10,良,53,79,34,60,15,44,1.38,27
2021年12月临夏PM2.5指数,2021-12-11,优,37,54,25,32,12,28,0.33,44
2021年12月临夏PM2.5指数,2021-12-12,优,30,76,19,28,6,26,0.46,49
2021年12月临夏PM2.5指数,2021-12-13,优,47,148,28,50,6,38,1.20,29
2021年12月临夏PM2.5指数,2021-12-14,优,49,72,30,52,10,39,1.35,32
2021年12月临夏PM2.5指数,2021-12-15,良,56,94,36,63,9,42,1.46,26
2021年12月临夏PM2.5指数,2021-12-16,优,48,85,32,53,7,36,1.28,31
2021年12月临夏PM2.5指数,2021-12-17,优,38,141,22,37,6,32,1.05,31
2021年12月临夏PM2.5指数,2021-12-18,优,47,112,26,49,8,36,1.48,28
2021年12月临夏PM2.5指数,2021-12-19,良,52,95,30,53,10,39,1.60,25
2021年12月临夏PM2.5指数,2021-12-20,良,52,123,36,50,8,42,1.58,27
2021年12月临夏PM2.5指数,2021-12-21,优,43,95,27,41,10,44,1.79,29
2021年12月临夏PM2.5指数,2021-12-22,良,52,113,31,57,11,41,1.66,28
2021年12月临夏PM2.5指数,2021-12-23,良,77,185,52,99,10,42,1.65,32
2021年12月临夏PM2.5指数,2021-12-24,良,55,160,35,60,13,40,1.69,32
2021年12月临夏PM2.5指数,2021-12-25,良,56,243,32,61,9,32,1.14,33
2021年12月临夏PM2.5指数,2021-12-26,良,51,244,32,55,6,29,0.84,43
2021年12月临夏PM2.5指数,2021-12-27,良,78,290,55,92,5,37,1.38,39
2021年12月临夏PM2.5指数,2021-12-28,轻度污染,119,325,89,153,7,43,1.90,30
2021年12月临夏PM2.5指数,2021-12-29,中度污染,163,331,124,187,8,47,2.17,33
2021年12月临夏PM2.5指数,2021-12-30,中度污染,154,332,117,187,12,46,2.10,33
2021年12月临夏PM2.5指数,2021-12-31,轻度污染,150,330,113,184,16,49,2.17,30
2021年11月临夏PM2.5指数,2021-11-01,优,45,139,28,44,14,29,0.71,36
2021年11月临夏PM2.5指数,2021-11-02,优,44,127,25,45,8,32,0.70,41
2021年11月临夏PM2.5指数,2021-11-03,优,48,125,27,50,9,35,0.77,41
2021年11月临夏PM2.5指数,2021-11-04,良,59,193,36,67,11,45,1.00,27
2021年11月临夏PM2.5指数,2021-11-05,良,56,202,31,66,9,40,0.93,33
2021年11月临夏PM2.5指数,2021-11-06,优,28,66,12,29,4,13,0.18,58
2021年11月临夏PM2.5指数,2021-11-07,优,26,104,12,23,7,19,0.44,57
2021年11月临夏PM2.5指数,2021-11-08,优,39,259,14,40,8,28,0.73,47
2021年11月临夏PM2.5指数,2021-11-09,优,50,288,22,56,10,38,0.92,45
2021年11月临夏PM2.5指数,2021-11-10,良,54,285,23,61,12,38,0.97,46
2021年11月临夏PM2.5指数,2021-11-11,优,36,98,16,33,11,37,0.65,45
2021年11月临夏PM2.5指数,2021-11-12,优,42,107,16,41,10,43,0.93,44
2021年11月临夏PM2.5指数,2021-11-13,良,53,146,20,60,11,47,1.26,40
2021年11月临夏PM2.5指数,2021-11-14,良,54,123,20,62,13,43,1.20,41
2021年11月临夏PM2.5指数,2021-11-15,良,53,111,20,61,13,46,1.20,41
2021年11月临夏PM2.5指数,2021-11-16,良,61,140,24,73,14,57,1.45,26
2021年11月临夏PM2.5指数,2021-11-17,良,54,114,19,62,13,48,0.98,32
2021年11月临夏PM2.5指数,2021-11-18,优,48,121,17,49,11,46,1.37,32
2021年11月临夏PM2.5指数,2021-11-19,优,43,105,22,47,16,37,1.15,32
2021年11月临夏PM2.5指数,2021-11-20,优,33,54,15,33,13,28,0.65,44
2021年11月临夏PM2.5指数,2021-11-21,优,30,45,12,28,10,29,0.66,43
2021年11月临夏PM2.5指数,2021-11-22,优,47,189,21,50,10,34,1.01,42
2021年11月临夏PM2.5指数,2021-11-23,优,46,142,20,46,11,41,1.17,36
2021年11月临夏PM2.5指数,2021-11-24,优,43,84,20,43,13,40,1.27,35
2021年11月临夏PM2.5指数,2021-11-25,优,47,91,28,47,13,36,1.28,37
2021年11月临夏PM2.5指数,2021-11-26,良,55,125,26,62,18,51,1.65,30
2021年11月临夏PM2.5指数,2021-11-27,良,54,121,26,62,14,41,1.49,33
2021年11月临夏PM2.5指数,2021-11-28,优,48,117,23,52,12,30,1.22,25
2021年11月临夏PM2.5指数,2021-11-29,优,28,25,15,26,7,17,0.55,53
2021年11月临夏PM2.5指数,2021-11-30,优,37,107,17,39,8,30,1.09,35
2021年10月临夏PM2.5指数,2021-10-01,优,42,140,18,37,5,31,0.45,64
2021年10月临夏PM2.5指数,2021-10-02,优,36,101,16,31,6,26,0.43,61
2021年10月临夏PM2.5指数,2021-10-03,优,30,60,15,29,4,21,0.41,45
2021年10月临夏PM2.5指数,2021-10-04,优,24,58,12,19,4,12,0.23,68
2021年10月临夏PM2.5指数,2021-10-05,优,33,192,20,32,3,21,0.38,50
2021年10月临夏PM2.5指数,2021-10-06,优,28,150,14,22,5,19,0.39,55
2021年10月临夏PM2.5指数,2021-10-07,优,46,293,25,45,6,27,0.68,51
2021年10月临夏PM2.5指数,2021-10-08,优,42,270,24,42,8,29,0.65,47
2021年10月临夏PM2.5指数,2021-10-09,优,34,180,16,34,5,16,0.42,52
2021年10月临夏PM2.5指数,2021-10-10,优,24,108,9,13,5,15,0.32,70
2021年10月临夏PM2.5指数,2021-10-11,优,27,169,14,20,7,20,0.48,59
2021年10月临夏PM2.5指数,2021-10-12,优,32,166,21,31,6,20,0.48,38
2021年10月临夏PM2.5指数,2021-10-13,优,39,199,17,39,5,21,0.42,50
2021年10月临夏PM2.5指数,2021-10-14,优,42,230,15,42,6,21,0.43,61
2021年10月临夏PM2.5指数,2021-10-15,优,30,167,17,28,5,20,0.44,58
2021年10月临夏PM2.5指数,2021-10-16,优,33,233,19,30,6,18,0.34,48
2021年10月临夏PM2.5指数,2021-10-17,优,22,85,12,21,4,18,0.32,30
2021年10月临夏PM2.5指数,2021-10-18,优,48,260,26,50,8,32,0.66,39
2021年10月临夏PM2.5指数,2021-10-19,优,37,130,22,39,5,25,0.45,48
