2022年03月昌吉PM2.5指数,2022-03-01,中度污染,156,333,118,149,5,57,1.53,52
﻿2022年03月昌吉PM2.5指数,2022-03-02,轻度污染,120,321,90,125,9,75,1.56,46
2022年03月昌吉PM2.5指数,2022-03-03,轻度污染,106,285,79,97,12,63,1.44,44
2022年03月昌吉PM2.5指数,2022-03-04,良,73,162,52,66,7,42,1.10,41
2022年03月昌吉PM2.5指数,2022-03-05,良,57,112,41,46,11,42,0.84,50
2022年03月昌吉PM2.5指数,2022-03-06,良,83,277,61,70,13,39,0.97,40
2022年03月昌吉PM2.5指数,2022-03-07,良,94,300,69,79,14,36,1.10,46
2022年03月昌吉PM2.5指数,2022-03-08,良,84,240,59,83,15,41,0.91,44
2022年03月昌吉PM2.5指数,2022-03-09,良,56,106,35,57,14,41,0.97,36
2022年03月昌吉PM2.5指数,2022-03-10,优,37,28,25,33,13,31,0.62,44
2022年03月昌吉PM2.5指数,2022-03-11,优,42,47,28,38,11,34,0.69,42
2022年03月昌吉PM2.5指数,2022-03-12,优,31,25,21,26,9,27,0.53,31
2022年03月昌吉PM2.5指数,2022-03-13,优,29,18,18,23,9,32,0.55,51
2022年03月昌吉PM2.5指数,2022-03-14,优,50,94,30,48,9,22,0.55,48
2022年03月昌吉PM2.5指数,2022-03-15,优,28,18,13,27,7,19,0.45,52
2022年03月昌吉PM2.5指数,2022-03-16,优,22,10,11,13,5,14,0.39,64
2022年03月昌吉PM2.5指数,2022-03-17,优,32,126,21,29,7,26,0.73,41
2022年03月昌吉PM2.5指数,2022-03-18,优,33,92,22,23,6,19,0.49,43
2022年03月昌吉PM2.5指数,2022-03-19,优,30,46,18,19,4,17,0.50,58
2022年03月昌吉PM2.5指数,2022-03-20,优,25,20,15,18,4,15,0.43,64
2022年03月昌吉PM2.5指数,2022-03-21,优,36,153,23,31,5,29,0.58,56
2022年03月昌吉PM2.5指数,2022-03-22,优,38,175,24,37,7,24,0.55,38
2022年03月昌吉PM2.5指数,2022-03-23,优,42,168,28,32,6,22,0.53,36
2022年03月昌吉PM2.5指数,2022-03-24,优,23,40,8,11,4,14,0.33,68
2022年03月昌吉PM2.5指数,2022-03-25,优,30,96,13,24,5,28,0.47,55
2022年03月昌吉PM2.5指数,2022-03-26,优,38,111,22,38,8,29,0.58,56
2022年03月昌吉PM2.5指数,2022-03-27,优,36,105,18,34,8,20,0.53,53
2022年03月昌吉PM2.5指数,2022-03-28,优,28,42,10,20,5,15,0.48,75
2022年03月昌吉PM2.5指数,2022-03-29,优,42,105,21,41,5,26,0.67,57
2022年03月昌吉PM2.5指数,2022-03-30,优,42,130,18,43,5,19,0.52,60
2022年03月昌吉PM2.5指数,2022-03-31,优,35,121,17,32,5,23,0.66,55
2022年02月昌吉PM2.5指数,2022-02-01,严重污染,374,337,328,391,11,60,2.54,32
2022年02月昌吉PM2.5指数,2022-02-02,严重污染,347,335,297,348,7,64,2.65,32
2022年02月昌吉PM2.5指数,2022-02-03,严重污染,369,336,322,391,13,70,3.06,27
2022年02月昌吉PM2.5指数,2022-02-04,严重污染,371,336,323,390,8,78,3.27,22
2022年02月昌吉PM2.5指数,2022-02-05,严重污染,348,336,298,366,7,74,2.75,26
2022年02月昌吉PM2.5指数,2022-02-06,重度污染,237,335,190,232,5,67,2.27,30
2022年02月昌吉PM2.5指数,2022-02-07,中度污染,188,336,147,184,5,62,1.90,35
2022年02月昌吉PM2.5指数,2022-02-08,中度污染,185,335,145,183,6,64,1.86,35
2022年02月昌吉PM2.5指数,2022-02-09,严重污染,255,335,205,256,4,66,2.36,38
2022年02月昌吉PM2.5指数,2022-02-10,严重污染,270,335,220,281,9,66,2.44,47
2022年02月昌吉PM2.5指数,2022-02-11,严重污染,273,335,223,275,7,55,2.48,67
2022年02月昌吉PM2.5指数,2022-02-12,重度污染,226,336,179,224,6,39,1.92,64
2022年02月昌吉PM2.5指数,2022-02-13,轻度污染,110,300,82,100,6,36,1.23,61
2022年02月昌吉PM2.5指数,2022-02-14,中度污染,158,334,119,149,5,49,1.62,38
2022年02月昌吉PM2.5指数,2022-02-15,中度污染,182,333,138,173,6,42,1.56,49
2022年02月昌吉PM2.5指数,2022-02-16,优,49,136,32,38,5,26,0.78,68
2022年02月昌吉PM2.5指数,2022-02-17,优,35,132,24,31,4,32,0.78,56
2022年02月昌吉PM2.5指数,2022-02-18,轻度污染,109,320,81,97,3,41,1.12,39
2022年02月昌吉PM2.5指数,2022-02-19,良,96,319,71,83,5,32,0.73,59
2022年02月昌吉PM2.5指数,2022-02-20,轻度污染,138,330,104,123,5,49,1.39,49
2022年02月昌吉PM2.5指数,2022-02-21,中度污染,178,329,134,158,6,55,1.53,54
2022年02月昌吉PM2.5指数,2022-02-22,中度污染,187,330,141,168,5,64,1.50,59
2022年02月昌吉PM2.5指数,2022-02-23,轻度污染,137,330,103,142,9,68,1.34,68
2022年02月昌吉PM2.5指数,2022-02-24,轻度污染,104,305,75,130,12,63,1.41,52
2022年02月昌吉PM2.5指数,2022-02-25,轻度污染,149,323,112,178,18,61,1.87,62
2022年02月昌吉PM2.5指数,2022-02-26,重度污染,214,333,163,239,7,74,1.91,76
2022年02月昌吉PM2.5指数,2022-02-27,轻度污染,146,330,95,214,9,65,1.58,89
2022年02月昌吉PM2.5指数,2022-02-28,轻度污染,133,322,100,143,5,61,1.35,41
2022年01月昌吉PM2.5指数,2022-01-01,重度污染,202,336,154,261,3,61,2.25,14
2022年01月昌吉PM2.5指数,2022-01-02,中度污染,178,331,136,220,3,67,2.55,14
2022年01月昌吉PM2.5指数,2022-01-03,中度污染,183,318,140,207,3,64,2.45,17
2022年01月昌吉PM2.5指数,2022-01-04,中度污染,197,313,152,216,5,69,2.32,20
