2021年12月莱西PM2.5指数,2021-12-01,优,27,33,12,27,8,18,0.48,45
﻿2021年12月莱西PM2.5指数,2021-12-02,良,73,325,49,86,13,42,0.81,20
2021年12月莱西PM2.5指数,2021-12-03,良,57,172,27,66,12,34,0.60,33
2021年12月莱西PM2.5指数,2021-12-04,良,78,279,53,96,15,38,0.88,28
2021年12月莱西PM2.5指数,2021-12-05,良,85,240,59,99,13,35,0.78,49
2021年12月莱西PM2.5指数,2021-12-06,轻度污染,107,313,78,118,12,33,0.85,44
2021年12月莱西PM2.5指数,2021-12-07,优,32,26,14,32,7,18,0.43,36
2021年12月莱西PM2.5指数,2021-12-08,良,62,142,41,70,15,29,0.82,29
2021年12月莱西PM2.5指数,2021-12-09,良,74,164,54,79,16,51,0.98,10
2021年12月莱西PM2.5指数,2021-12-10,轻度污染,122,245,91,112,10,46,1.09,16
2021年12月莱西PM2.5指数,2021-12-11,轻度污染,136,287,103,143,14,42,0.95,19
2021年12月莱西PM2.5指数,2021-12-12,良,51,173,27,52,11,18,0.47,45
2021年12月莱西PM2.5指数,2021-12-13,优,45,131,27,49,13,34,0.63,29
2021年12月莱西PM2.5指数,2021-12-14,轻度污染,104,314,76,124,19,58,1.12,22
2021年12月莱西PM2.5指数,2021-12-15,中度污染,186,354,142,191,19,54,1.33,22
2021年12月莱西PM2.5指数,2021-12-16,中度污染,167,360,120,179,19,42,1.08,36
2021年12月莱西PM2.5指数,2021-12-17,优,31,80,9,31,9,13,0.18,56
2021年12月莱西PM2.5指数,2021-12-18,良,52,177,28,58,17,34,0.34,32
2021年12月莱西PM2.5指数,2021-12-19,良,87,337,59,118,22,55,0.65,26
2021年12月莱西PM2.5指数,2021-12-20,优,10,29,7,13,2,5,0.09,0
2021年11月莱西PM2.5指数,2021-11-01,优,43,125,22,42,8,16,0.39,56
2021年11月莱西PM2.5指数,2021-11-02,良,58,195,33,69,11,34,0.56,34
2021年11月莱西PM2.5指数,2021-11-03,轻度污染,108,315,78,131,11,45,0.78,48
2021年11月莱西PM2.5指数,2021-11-04,轻度污染,125,327,94,149,10,48,1.04,55
2021年11月莱西PM2.5指数,2021-11-05,良,86,268,61,94,8,27,0.72,76
2021年11月莱西PM2.5指数,2021-11-06,良,56,243,34,62,9,21,0.57,77
2021年11月莱西PM2.5指数,2021-11-07,优,41,270,23,40,8,15,0.48,59
2021年11月莱西PM2.5指数,2021-11-08,优,25,86,9,23,7,9,0.45,57
2021年11月莱西PM2.5指数,2021-11-09,优,46,244,24,40,11,21,0.51,44
2021年11月莱西PM2.5指数,2021-11-10,优,38,157,18,38,10,27,0.39,37
2021年11月莱西PM2.5指数,2021-11-11,优,36,102,12,36,9,25,0.35,39
2021年11月莱西PM2.5指数,2021-11-12,优,45,120,23,50,11,38,0.54,29
2021年11月莱西PM2.5指数,2021-11-13,良,86,317,62,105,17,56,0.85,27
2021年11月莱西PM2.5指数,2021-11-14,轻度污染,117,344,85,146,18,59,1.11,22
2021年11月莱西PM2.5指数,2021-11-15,良,81,251,56,109,14,42,0.78,23
2021年11月莱西PM2.5指数,2021-11-16,良,64,150,38,78,12,37,0.62,28
2021年11月莱西PM2.5指数,2021-11-17,轻度污染,108,287,81,135,11,52,0.98,37
2021年11月莱西PM2.5指数,2021-11-18,中度污染,169,354,128,186,14,47,0.97,67
2021年11月莱西PM2.5指数,2021-11-19,轻度污染,148,343,111,147,10,36,0.89,42
2021年11月莱西PM2.5指数,2021-11-20,良,94,308,68,74,8,24,0.58,56
2021年11月莱西PM2.5指数,2021-11-21,良,57,193,33,64,8,22,0.49,49
2021年11月莱西PM2.5指数,2021-11-22,优,41,159,10,45,6,10,0.38,49
2021年11月莱西PM2.5指数,2021-11-23,良,55,192,30,63,13,35,0.70,30
2021年11月莱西PM2.5指数,2021-11-24,良,97,347,69,127,18,53,0.99,21
2021年11月莱西PM2.5指数,2021-11-25,轻度污染,127,353,95,162,20,59,1.45,17
2021年11月莱西PM2.5指数,2021-11-26,良,99,295,71,128,18,45,1.02,24
2021年11月莱西PM2.5指数,2021-11-27,良,64,185,39,76,12,33,0.60,35
2021年11月莱西PM2.5指数,2021-11-28,良,57,167,36,64,10,33,0.58,33
2021年11月莱西PM2.5指数,2021-11-29,良,57,165,37,63,12,36,0.59,30
2021年11月莱西PM2.5指数,2021-11-30,优,28,40,13,27,5,10,0.32,36
2021年10月莱西PM2.5指数,2021-10-01,良,59,293,33,64,11,24,0.70,104
2021年10月莱西PM2.5指数,2021-10-02,良,53,213,25,56,8,22,0.62,96
2021年10月莱西PM2.5指数,2021-10-03,优,41,162,19,41,7,12,0.45,81
2021年10月莱西PM2.5指数,2021-10-04,优,29,125,12,23,6,11,0.63,65
2021年10月莱西PM2.5指数,2021-10-05,优,22,111,8,17,6,13,0.61,49
2021年10月莱西PM2.5指数,2021-10-06,优,29,156,13,28,7,15,0.50,37
2021年10月莱西PM2.5指数,2021-10-07,优,19,43,8,16,7,9,0.33,54
2021年10月莱西PM2.5指数,2021-10-08,优,31,163,18,31,8,21,0.45,46
2021年10月莱西PM2.5指数,2021-10-09,优,26,96,16,25,7,14,0.48,40
2021年10月莱西PM2.5指数,2021-10-10,优,29,157,13,28,7,9,0.52,47
2021年10月莱西PM2.5指数,2021-10-11,优,25,127,6,24,7,10,0.27,51
2021年10月莱西PM2.5指数,2021-10-12,优,33,192,14,32,9,18,0.40,66
2021年10月莱西PM2.5指数,2021-10-13,优,40,214,17,39,7,23,0.43,60
2021年10月莱西PM2.5指数,2021-10-14,良,54,283,31,60,9,26,0.63,76
2021年10月莱西PM2.5指数,2021-10-15,良,51,294,32,49,9,19,0.75,58
2021年10月莱西PM2.5指数,2021-10-16,优,36,259,8,36,7,10,0.30,60
2021年10月莱西PM2.5指数,2021-10-17,优,41,270,21,46,9,34,0.54,35
2021年10月莱西PM2.5指数,2021-10-18,良,64,315,37,79,10,49,0.71,31
2021年10月莱西PM2.5指数,2021-10-19,优,42,173,20,47,7,20,0.44,45
2021年10月莱西PM2.5指数,2021-10-20,优,39,211,18,40,8,23,0.49,44
2021年10月莱西PM2.5指数,2021-10-21,良,67,312,46,79,10,34,0.68,50
2021年10月莱西PM2.5指数,2021-10-22,良,69,277,47,74,10,32,0.62,49
2021年10月莱西PM2.5指数,2021-10-23,优,44,160,23,46,9,32,0.50,45
2021年10月莱西PM2.5指数,2021-10-24,良,73,288,51,87,12,41,0.69,57
2021年10月莱西PM2.5指数,2021-10-25,轻度污染,118,338,89,138,13,47,0.90,68
2021年10月莱西PM2.5指数,2021-10-26,中度污染,157,362,119,172,14,50,0.95,68
2021年10月莱西PM2.5指数,2021-10-27,轻度污染,104,328,71,108,10,31,0.69,57
2021年10月莱西PM2.5指数,2021-10-28,良,87,313,61,114,13,50,0.83,34
2021年10月莱西PM2.5指数,2021-10-29,良,94,306,68,121,13,43,0.79,61
2021年10月莱西PM2.5指数,2021-10-30,轻度污染,146,346,111,173,14,50,0.98,60
2021年10月莱西PM2.5指数,2021-10-31,轻度污染,150,354,113,155,11,33,0.90,60
2021年09月莱西PM2.5指数,2021-09-01,优,30,144,12,24,6,10,0.48,89
2021年09月莱西PM2.5指数,2021-09-02,优,44,254,23,40,9,18,0.68,94
2021年09月莱西PM2.5指数,2021-09-03,良,54,322,29,50,8,22,0.68,97
2021年09月莱西PM2.5指数,2021-09-04,优,31,165,17,29,6,18,0.53,71
2021年09月莱西PM2.5指数,2021-09-05,优,30,168,6,9,6,7,0.40,94
2021年09月莱西PM2.5指数,2021-09-06,优,23,67,2,5,6,8,0.40,74
2021年09月莱西PM2.5指数,2021-09-07,优,24,83,6,15,9,9,0.44,74
2021年09月莱西PM2.5指数,2021-09-08,良,56,336,22,47,8,27,0.65,91
2021年09月莱西PM2.5指数,2021-09-09,优,41,185,20,38,7,14,0.57,115
2021年09月莱西PM2.5指数,2021-09-10,优,36,128,21,35,7,12,0.55,100
2021年09月莱西PM2.5指数,2021-09-11,优,37,148,18,33,6,11,0.48,100
2021年09月莱西PM2.5指数,2021-09-12,优,33,139,18,34,6,10,0.49,88
2021年09月莱西PM2.5指数,2021-09-13,优,44,253,22,44,7,16,0.51,89
2021年09月莱西PM2.5指数,2021-09-14,优,42,238,20,42,7,17,0.58,91
2021年09月莱西PM2.5指数,2021-09-15,优,46,264,22,45,8,15,0.61,109
2021年09月莱西PM2.5指数,2021-09-16,优,41,237,15,39,8,16,0.46,94
2021年09月莱西PM2.5指数,2021-09-17,优,38,188,19,38,8,15,0.55,88
2021年09月莱西PM2.5指数,2021-09-18,优,40,204,19,40,9,18,0.57,86
2021年09月莱西PM2.5指数,2021-09-19,优,39,235,25,36,8,20,0.67,61
2021年09月莱西PM2.5指数,2021-09-20,优,25,90,9,15,7,9,0.57,75
2021年09月莱西PM2.5指数,2021-09-21,优,34,178,17,30,9,13,0.67,92
2021年09月莱西PM2.5指数,2021-09-22,优,39,191,17,31,9,21,0.63,82
2021年09月莱西PM2.5指数,2021-09-23,优,41,202,17,37,10,25,0.57,77
2021年09月莱西PM2.5指数,2021-09-24,优,33,166,13,27,8,14,0.46,94
2021年09月莱西PM2.5指数,2021-09-25,优,26,121,11,20,7,13,0.46,78
2021年09月莱西PM2.5指数,2021-09-26,优,21,73,9,17,7,12,0.45,57
2021年09月莱西PM2.5指数,2021-09-27,优,22,42,4,7,7,9,0.43,69
2021年09月莱西PM2.5指数,2021-09-28,优,20,19,5,10,7,11,0.44,60
2021年09月莱西PM2.5指数,2021-09-29,优,31,114,15,26,8,15,0.51,71
2021年09月莱西PM2.5指数,2021-09-30,良,61,311,34,60,11,29,0.76,97
2021年08月莱西PM2.5指数,2021-08-01,优,50,269,21,35,8,10,0.47,137
2021年08月莱西PM2.5指数,2021-08-02,优,39,169,16,27,8,11,0.46,111
2021年08月莱西PM2.5指数,2021-08-03,优,38,178,19,31,8,12,0.41,101
2021年08月莱西PM2.5指数,2021-08-04,优,26,99,9,23,7,11,0.30,62
2021年08月莱西PM2.5指数,2021-08-05,优,20,40,8,19,7,12,0.29,43
2021年08月莱西PM2.5指数,2021-08-06,优,18,21,7,14,7,8,0.23,44
2021年08月莱西PM2.5指数,2021-08-07,优,28,95,9,24,7,12,0.33,67
2021年08月莱西PM2.5指数,2021-08-08,优,40,193,22,37,8,15,0.47,85
2021年08月莱西PM2.5指数,2021-08-09,良,54,289,34,58,9,22,0.73,87
2021年08月莱西PM2.5指数,2021-08-10,良,57,312,34,58,7,17,0.60,109
2021年08月莱西PM2.5指数,2021-08-11,优,44,273,26,36,8,13,0.63,120
2021年08月莱西PM2.5指数,2021-08-12,良,55,323,36,56,8,20,0.71,87
2021年08月莱西PM2.5指数,2021-08-13,优,35,246,18,33,8,14,0.54,82
2021年08月莱西PM2.5指数,2021-08-14,优,37,257,17,33,8,13,0.48,87
2021年08月莱西PM2.5指数,2021-08-15,优,38,249,18,36,8,14,0.45,97
2021年08月莱西PM2.5指数,2021-08-16,优,37,252,15,31,8,17,0.46,89
2021年08月莱西PM2.5指数,2021-08-17,优,43,306,20,40,8,20,0.56,84
2021年08月莱西PM2.5指数,2021-08-18,优,36,205,15,26,8,10,0.54,109
2021年08月莱西PM2.5指数,2021-08-19,优,35,181,14,26,8,14,0.47,88
2021年08月莱西PM2.5指数,2021-08-20,优,32,152,16,24,7,16,0.55,86
2021年08月莱西PM2.5指数,2021-08-21,优,41,271,22,31,8,10,0.75,116
2021年08月莱西PM2.5指数,2021-08-22,良,53,313,34,54,8,25,1.05,88
2021年08月莱西PM2.5指数,2021-08-23,优,28,121,8,18,7,11,0.48,75
2021年08月莱西PM2.5指数,2021-08-24,优,36,225,19,32,11,12,0.50,100
2021年08月莱西PM2.5指数,2021-08-25,良,57,337,28,65,13,23,0.65,103
2021年08月莱西PM2.5指数,2021-08-26,良,59,339,25,68,9,31,0.63,91
2021年08月莱西PM2.5指数,2021-08-27,优,37,250,17,35,7,21,0.52,77
2021年08月莱西PM2.5指数,2021-08-28,优,39,238,17,32,7,18,0.51,93
2021年08月莱西PM2.5指数,2021-08-29,良,51,323,33,43,10,13,0.48,96
2021年08月莱西PM2.5指数,2021-08-30,优,34,211,21,29,6,14,0.52,70
2021年08月莱西PM2.5指数,2021-08-31,优,27,126,7,11,6,7,0.45,84
2021年07月莱西PM2.5指数,2021-07-01,优,32,180,13,30,8,7,0.35,76
2021年07月莱西PM2.5指数,2021-07-02,优,27,130,12,25,8,4,0.31,70
2021年07月莱西PM2.5指数,2021-07-03,优,30,158,12,17,8,4,0.35,88
2021年07月莱西PM2.5指数,2021-07-04,优,33,167,10,20,9,6,0.36,104
2021年07月莱西PM2.5指数,2021-07-05,优,41,236,25,41,8,9,0.47,105
2021年07月莱西PM2.5指数,2021-07-06,优,30,140,13,26,8,8,0.34,90
2021年07月莱西PM2.5指数,2021-07-07,优,26,91,8,21,8,9,0.26,75
2021年07月莱西PM2.5指数,2021-07-08,优,38,251,17,35,8,13,0.37,84
2021年07月莱西PM2.5指数,2021-07-09,优,36,234,18,32,8,16,0.52,88
2021年07月莱西PM2.5指数,2021-07-10,优,45,280,27,45,8,10,0.48,104
2021年07月莱西PM2.5指数,2021-07-11,优,46,279,27,45,8,9,0.50,109
2021年07月莱西PM2.5指数,2021-07-12,优,50,334,31,51,8,8,0.41,126
2021年07月莱西PM2.5指数,2021-07-13,优,33,186,16,28,8,8,0.33,95
2021年07月莱西PM2.5指数,2021-07-14,优,24,78,11,20,5,4,0.26,71
2021年07月莱西PM2.5指数,2021-07-15,优,0,9,0,0,0,0,0.00,0
2021年07月莱西PM2.5指数,2021-07-16,优,19,69,5,11,6,3,0.18,60
2021年07月莱西PM2.5指数,2021-07-17,优,19,46,10,17,8,2,0.20,46
2021年07月莱西PM2.5指数,2021-07-18,优,29,177,15,24,7,6,0.25,74
2021年07月莱西PM2.5指数,2021-07-19,优,25,80,10,19,8,8,0.35,66
2021年07月莱西PM2.5指数,2021-07-20,优,20,56,7,21,8,7,0.30,41
2021年07月莱西PM2.5指数,2021-07-21,优,24,104,10,22,7,7,0.33,63
2021年07月莱西PM2.5指数,2021-07-22,优,39,303,19,35,7,11,0.41,101
2021年07月莱西PM2.5指数,2021-07-23,优,33,209,16,29,6,9,0.38,85
2021年07月莱西PM2.5指数,2021-07-24,优,39,270,16,36,7,13,0.40,78
2021年07月莱西PM2.5指数,2021-07-25,优,36,235,17,34,7,12,0.41,80
2021年07月莱西PM2.5指数,2021-07-26,优,28,131,13,27,7,9,0.39,71
2021年07月莱西PM2.5指数,2021-07-27,优,23,105,10,22,7,7,0.26,56
2021年07月莱西PM2.5指数,2021-07-28,优,29,157,13,28,8,12,0.26,64
2021年07月莱西PM2.5指数,2021-07-29,优,20,52,8,16,7,5,0.23,57
2021年07月莱西PM2.5指数,2021-07-30,优,22,43,11,20,7,11,0.50,62
2021年07月莱西PM2.5指数,2021-07-31,优,41,203,19,34,8,12,0.55,106
2021年06月莱西PM2.5指数,2021-06-01,优,31,89,20,34,9,10,0.53,84
2021年06月莱西PM2.5指数,2021-06-02,优,37,177,15,35,7,7,0.50,90
2021年06月莱西PM2.5指数,2021-06-03,优,34,147,16,33,8,9,0.40,79
